"TDate","TId","TType","IsDeposit","Amount","DrAcc","CrAcc","PersonId","BillNo","UserId","Note","VchNo","Tim","CatId"
"Sun Apr 26 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","18190","9","0","11860","9","4","46","1359","1",,"0","Mon Jan 01 1900 14:52:12 GMT+0428 (Pakistan Standard Time)","1"
"Sun Apr 26 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","18191","2","0","12390","3","5","46","1359","1",,"0","Mon Jan 01 1900 14:52:12 GMT+0428 (Pakistan Standard Time)","1"
"Sun Apr 26 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","18192","2","1","15000","1","3","46","1359","1","Cash Sale","202604260001","Mon Jan 01 1900 14:57:12 GMT+0428 (Pakistan Standard Time)","1"
"Sun Apr 26 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","18193","9","0","33115","9","4","97","1360","1",,"0","Mon Jan 01 1900 15:04:12 GMT+0428 (Pakistan Standard Time)","1"
"Sun Apr 26 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","18194","2","0","34330","3","5","97","1360","1",,"0","Mon Jan 01 1900 15:04:12 GMT+0428 (Pakistan Standard Time)","1"
"Sun Apr 26 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","18195","9","0","17820","9","4","81","1361","1",,"0","Mon Jan 01 1900 15:09:12 GMT+0428 (Pakistan Standard Time)","1"
"Sun Apr 26 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","18196","2","0","18430","3","5","81","1361","1",,"0","Mon Jan 01 1900 15:09:12 GMT+0428 (Pakistan Standard Time)","1"
"Sun Apr 26 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","18197","9","0","181930","9","4","5","1362","1",,"0","Mon Jan 01 1900 17:35:12 GMT+0428 (Pakistan Standard Time)","1"
"Sun Apr 26 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","18198","2","0","187610","3","5","5","1362","1",,"0","Mon Jan 01 1900 17:35:12 GMT+0428 (Pakistan Standard Time)","1"
"Sun Apr 26 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","18199","2","1","25000","1","3","81","1361","1","Cash Sale","202604260002","Mon Jan 01 1900 18:59:12 GMT+0428 (Pakistan Standard Time)","1"
"Sun Apr 26 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","18200","1","2","50000","2","1","8","0","1","","202604260003","Tue Jan 02 1900 00:28:12 GMT+0428 (Pakistan Standard Time)","1"
"Sun Apr 26 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","18201","1","2","50000","2","1","8","0","1","","202604260004","Tue Jan 02 1900 00:28:12 GMT+0428 (Pakistan Standard Time)","1"
"Sun Apr 26 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","18202","9","0","71005","9","4","81","1363","1",,"0","Mon Jan 01 1900 23:48:12 GMT+0428 (Pakistan Standard Time)","1"
"Sun Apr 26 2026 05:00:00 GMT+0500 (Pakistan Standard Time)","18203","2","0","72990","3","5","81","1363","1",,"0","Mon Jan 01 1900 23:48:12 GMT+0428 (Pakistan Standard Time)","1"