"SetId","Msg","PersonId","Identiti","Schedule","IsChecked","NextSendDate","Txt"
"1","Sale",,"4","After each 1 Hour","false","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",
"2","Purchase",,"4","After each 1 Hour","false","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",
"3","Sale Return",,"4","After each 1 Hour","false","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",
"4","Purchase Return",,"4","After each 1 Hour","false","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",
"5","Expense",,"4","After each 1 Hour","false","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",
"6","Gross Profit",,"4","After each 1 Hour","false","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",
"7","Net Profit",,"4","After each 1 Hour","false","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",
"8","Amount Received",,"4","After each 1 Hour","false","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",
"9","Amount Paid",,"4","After each 1 Hour","false","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",
"10","Stock",,"4","After each 1 Hour","false","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",
"11","Sale",,"2","On Sale Invoice Print","false","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",
"12","Sale Return",,"2","On Return Voucher Print","false","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",
"13","Amount Transaction",,"2","On Amount Transaction","false","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",
"14","Remind Customer About Payment",,"2","On Every Saturday","false","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",
"15","Inform Customer About Bilty",,"2","After Bilty","false","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",
"16","Purchase",,"1","On Purchase Bill Print","false","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",
"17","Purchase Return",,"1","On Return Voucher Print","false","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",
"18","Amount Transaction",,"1","On Amount Transaction","false","Sat Sep 25 2021 19:31:00 GMT+0500 (Pakistan Standard Time)",